_id,brand_name,id,rating_star,review_date,review_title,review_vote,reviewer_name,reviews,status,url
5c5d1db915fc8d30a4e645c1,colgate_toothbrush,https://www.amazon.in/gp/customer-reviews/R5RULVM1QK63I?ASIN=B01BWI48W4,5.0,5 October 2017,Five Stars,One,ST.SIVASEKAR,OK,1,https://www.amazon.in/gp/customer-reviews/R5RULVM1QK63I?ASIN=B01BWI48W4
5c5d1db915fc8d30a4e645c2,colgate_toothbrush,https://www.amazon.in/gp/customer-reviews/R2SVCULU1WSRWQ?ASIN=B01BWI48W4,5.0,5 October 2017,Five Stars,One,ST.SIVASEKAR,OK,1,https://www.amazon.in/gp/customer-reviews/R2SVCULU1WSRWQ?ASIN=B01BWI48W4
5c5d1db915fc8d30a4e645c3,colgate_toothbrush,https://www.amazon.in/gp/customer-reviews/R1K509KK3DZVPC?ASIN=B01BWI48W4,4.0,9 June 2016,Four Stars,One,Kumar,good,1,https://www.amazon.in/gp/customer-reviews/R1K509KK3DZVPC?ASIN=B01BWI48W4
5c5d1db915fc8d30a4e645c4,colgate_toothbrush,https://www.amazon.in/gp/customer-reviews/RJGH0EPLYTW1E?ASIN=B01BWI48W4,5.0,19 August 2017,Five Stars,One,Amazon Customer,Good product,1,https://www.amazon.in/gp/customer-reviews/RJGH0EPLYTW1E?ASIN=B01BWI48W4
5c5d1db915fc8d30a4e645c5,colgate_toothbrush,https://www.amazon.in/gp/customer-reviews/R3V7XRESN4O587?ASIN=B01BWI48W4,5.0,15 February 2018,Five Stars,One,Roshan K.,NICE,1,https://www.amazon.in/gp/customer-reviews/R3V7XRESN4O587?ASIN=B01BWI48W4
5c5d1db915fc8d30a4e645c6,colgate_toothbrush,https://www.amazon.in/gp/customer-reviews/R1Y4KGO5CQVAWX?ASIN=B01BWI48W4,5.0,1 December 2016,Five Stars,One,Amazon Customer,Good 👍,1,https://www.amazon.in/gp/customer-reviews/R1Y4KGO5CQVAWX?ASIN=B01BWI48W4
5c5d1db915fc8d30a4e645c7,colgate_toothbrush,https://www.amazon.in/gp/customer-reviews/R3TYXNVKQLLX8R?ASIN=B01BWI48W4,3.0,25 September 2016,"Yes, it does.",One,Amazon Customer,"Yes,it does.",1,https://www.amazon.in/gp/customer-reviews/R3TYXNVKQLLX8R?ASIN=B01BWI48W4
5c5d1db915fc8d30a4e645c8,colgate_toothbrush,https://www.amazon.in/gp/customer-reviews/R260AAIGE2LR75?ASIN=B01BWI48W4,5.0,24 August 2016,Five Stars,One,Anonymous,Perfectly Soft,1,https://www.amazon.in/gp/customer-reviews/R260AAIGE2LR75?ASIN=B01BWI48W4
5c5d1db915fc8d30a4e645c9,colgate_toothbrush,https://www.amazon.in/gp/customer-reviews/R26NJGIDF610M6?ASIN=B01BWI48W4,4.0,8 August 2017,Four Stars,One,Amazon Customer,good,1,https://www.amazon.in/gp/customer-reviews/R26NJGIDF610M6?ASIN=B01BWI48W4
5c5d1db915fc8d30a4e645ca,colgate_toothbrush,https://www.amazon.in/gp/customer-reviews/R17G9IW1Q6A4ZA?ASIN=B01BWI48W4,5.0,9 March 2018,Five Stars,One,sonal t.,very soft bristles and a very good brush,1,https://www.amazon.in/gp/customer-reviews/R17G9IW1Q6A4ZA?ASIN=B01BWI48W4
