,Avg_faren,Avg_faren-1,Class,FlightNo,FlownWeek,FlownYear,POS,Route,var_yld,yield_FCT,yieldn,yieldn-1
0,,2159.938775510204,PremiumEconomy,RX0716,46,2018,CGP,CGP-DAC,,2159.938775510204,,2159.938775510204
0,2175.7368421052633,2611.125,Economy,RX0716,23,2018,CGP,CGP-DAC,0.8332564860377283,1812.9468355954555,2175.7368421052633,2611.125
0,3102.5405405405404,2303.4545454545455,Economy,RX0716,24,2018,CGP,CGP-DAC,1.3469076464577292,4178.8355774991505,3102.5405405405404,2303.4545454545455
0,2715.269565217391,3118.6470588235293,Economy,RX0716,25,2018,CGP,CGP-DAC,0.8706562538185044,2364.066427759573,2715.269565217391,3118.6470588235293
0,2088.217391304348,2384.037037037037,Economy,RX0716,26,2018,CGP,CGP-DAC,0.8759165058524662,1829.1040808516566,2088.217391304348,2384.037037037037
0,2494.2,2356.4,Economy,RX0716,27,2018,CGP,CGP-DAC,1.0584790358173484,2640.05841113563,2494.2,2356.4
0,2037.5333333333333,2470.0,Economy,RX0716,28,2018,CGP,CGP-DAC,0.8249122807017544,1680.786269005848,2037.5333333333333,2470.0
0,2150.056603773585,2525.0,Economy,RX0716,29,2018,CGP,CGP-DAC,0.8515075658509247,1830.7894651209513,2150.056603773585,2525.0
0,2360.8070175438597,2416.964285714286,Economy,RX0716,30,2018,CGP,CGP-DAC,0.9767653711300787,2305.9545426577224,2360.8070175438597,2416.964285714286
0,2470.8936170212764,2436.8,Economy,RX0716,31,2018,CGP,CGP-DAC,1.013991142901049,2505.4642427103113,2470.8936170212764,2436.8
0,2526.8260869565215,2394.6666666666665,Economy,RX0716,32,2018,CGP,CGP-DAC,1.0551890674929796,2666.2792624125864,2526.8260869565215,2394.6666666666665
0,3072.7196261682243,2453.9,Economy,RX0716,33,2018,CGP,CGP-DAC,1.252178013027517,3847.591956085982,3072.7196261682243,2453.9
0,3516.6513157894738,2515.375,Economy,RX0716,34,2018,CGP,CGP-DAC,1.3980624422956711,4916.498127254917,3516.6513157894738,2515.375
0,2780.6991150442477,3530.8688524590166,Economy,RX0716,35,2018,CGP,CGP-DAC,0.7875396202007545,2189.910724954521,2780.6991150442477,3530.8688524590166
0,2210.75,2246.5,Economy,RX0716,36,2018,CGP,CGP-DAC,0.9840863565546405,2175.5689127531714,2210.75,2246.5
0,1878.421052631579,2470.0,Economy,RX0716,37,2018,CGP,CGP-DAC,0.7604943532921372,1428.5286036313883,1878.421052631579,2470.0
0,1971.0,2604.0,Economy,RX0716,38,2018,CGP,CGP-DAC,0.7569124423963134,1491.8744239631337,1971.0,2604.0
0,3171.0,2570.5,Economy,RX0716,39,2018,CGP,CGP-DAC,1.2336121377163975,3911.7840886986965,3171.0,2570.5
0,1971.0,4007.734693877551,Economy,RX0716,40,2018,CGP,CGP-DAC,0.4917990212802795,969.3358709434309,1971.0,4007.734693877551
0,,2016.2,Economy,RX0716,41,2018,CGP,CGP-DAC,,2016.2,,2016.2
0,,1646.6666666666667,Economy,RX0716,42,2018,CGP,CGP-DAC,,1646.6666666666667,,1646.6666666666667
0,,2503.5,Economy,RX0716,44,2018,CGP,CGP-DAC,,2503.5,,2503.5
0,,2186.375,Economy,RX0716,45,2018,CGP,CGP-DAC,,2186.375,,2186.375
0,,2439.285714285714,Economy,RX0716,46,2018,CGP,CGP-DAC,,2439.285714285714,,2439.285714285714
0,1145.0,,Economy,RX0712,26,2017,BKK,CGP-DAC,,1145.0,1145.0,
0,1152.0,,Economy,RX0712,35,2017,BKK,CGP-DAC,,1152.0,1152.0,
