,TENANT_ID,NET_SALES
0,OBM00007,100.0
1,OBM00007,50.0
2,OBM00007,117.14
3,OBM00007,117.14
4,OBM00007,449.05
5,OBM00007,117.14
6,OBM00007,361.18
7,OBM00007,117.14
8,OBM00007,146.42
9,OBM00007,1660.5
10,OBM00007,383.09
11,OBM00007,117.14
12,OBM00007,50.0
13,OBM00007,214.76
14,OBM00007,214.76
15,OBM00007,331.9
16,OBM00007,946.9
17,OBM00007,566.19
18,OBM00007,50.0
19,OBM00007,297.74
20,OBM00007,156.18
21,OBM00007,558.8
22,OBM00007,302.61
23,OBM00007,292.86
24,OBM00007,97.62
25,OBM00007,214.76
26,OBM00007,214.76
27,OBM00007,50.0
28,OBM00007,43.92
29,OBM00007,214.76
30,OBM00007,429.52
31,OBM00007,224.52
32,OBM00007,214.76
33,OBM00007,50.0
34,OBM00007,361.19
35,OBM00007,97.62
36,OBM00007,468.58
37,OBM00007,263.57
38,OBM00007,331.9
39,OBM00007,50.0
40,OBM00007,50.0
41,OBM00007,214.76
42,OBM00007,117.14
43,OBM00007,50.0
44,OBM00007,473.45
45,OBM00007,938.34
46,OBM00007,439.28
47,OBM00007,234.29
48,OBM00007,224.52
49,OBM00007,50.0
50,OBM00007,214.76
51,OBM00007,331.9
52,OBM00007,302.62
53,OBM00007,214.76
54,OBM00007,546.66
55,OBM00007,331.9
56,OBM00007,590.59
57,OBM00007,50.0
58,OBM00007,214.76
59,OBM00007,68.33
60,OBM00007,50.0
61,OBM00007,263.57
62,OBM00007,497.85
63,OBM00007,87.85
64,OBM00007,683.34
65,OBM00007,214.76
66,OBM00007,214.76
67,OBM00007,214.76
68,OBM00007,331.9
69,OBM00007,214.76
70,OBM00007,117.14
71,OBM00007,214.76
72,OBM00007,214.76
73,OBM00007,117.14
74,OBM00007,395.35
75,OBM00007,605.24
76,OBM00007,205.0
77,OBM00007,50.0
78,OBM00007,50.0
79,OBM00007,214.76
80,OBM00007,234.28
81,OBM00007,894.4
82,OBM00007,283.1
83,OBM00007,50.0
84,OBM00007,331.9
85,OBM00007,214.76
86,OBM00007,497.86
87,OBM00007,175.72
88,OBM00007,68.33
89,OBM00007,567.38
90,OBM00007,811.43
91,OBM00007,102.5
92,OBM00007,234.29
93,OBM00007,234.29
94,OBM00007,214.76
95,OBM00007,214.76
96,OBM00007,331.9
97,OBM00007,429.52
98,OBM00007,214.76
99,OBM00007,273.34
100,OBM00007,185.49
101,OBM00007,214.76
102,OBM00007,283.09
103,OBM00007,331.9
104,OBM00007,663.81
105,OBM00007,380.7
106,OBM00007,87.86
107,OBM00007,50.0
108,OBM00007,312.38
109,OBM00007,258.69
110,OBM00007,214.76
111,OBM00007,117.14
112,OBM00007,273.34
113,OBM00007,50.0
114,OBM00007,214.76
115,OBM00007,214.76
116,OBM00007,264.76
117,OBM00007,473.45
118,OBM00007,331.9
119,OBM00007,50.0
120,OBM00007,117.15
121,OBM00007,50.0
122,OBM00007,590.6
123,OBM00007,214.76
124,OBM00007,473.45
125,OBM00007,50.0
126,OBM00007,214.76
127,OBM00007,50.0
128,OBM00007,214.76
129,OBM00007,50.0
130,OBM00007,546.66
