"dateproceed"
"9102019.0000000000"
"10102019.0000000000"
"10102019.0000000000"
"11102019.0000000000"
"11102019.0000000000"
"5102019.0000000000"
"6102019.0000000000"
"7102019.0000000000"
"7102019.0000000000"
"8102019.0000000000"
"8102019.0000000000"
"9102019.0000000000"
"10102019.0000000000"
"21082019.0000000000"
"1092019.0000000000"
"5102019.0000000000"
"7102019.0000000000"
"6102019.0000000000"
"30092019.0000000000"
"1102019.0000000000"
"5102019.0000000000"
"5102019.0000000000"
"5102019.0000000000"
"7102019.0000000000"
"9102019.0000000000"
"9102019.0000000000"
"9102019.0000000000"
"9102019.0000000000"
"9102019.0000000000"
"11102019.0000000000"
"5102019.0000000000"
"8102019.0000000000"
"10102019.0000000000"
"11102019.0000000000"
"6102019.0000000000"
"10102019.0000000000"
"30092019.0000000000"
"30092019.0000000000"
"11102019.0000000000"
"9102019.0000000000"
"11102019.0000000000"
"11102019.0000000000"
"7102019.0000000000"
"9102019.0000000000"
"10102019.0000000000"
"11102019.0000000000"
"7102019.0000000000"
"16092019.0000000000"
"8102019.0000000000"
"9102019.0000000000"
"5102019.0000000000"
"11102019.0000000000"
"9102019.0000000000"
"10102019.0000000000"
"11102019.0000000000"
"8102019.0000000000"
"9102019.0000000000"
"10102019.0000000000"
"11102019.0000000000"
"10102019.0000000000"
"11102019.0000000000"
"11102019.0000000000"
"9102019.0000000000"
"11102019.0000000000"
"11102019.0000000000"
"8102019.0000000000"
"9102019.0000000000"
"10102019.0000000000"
"7102019.0000000000"
"11102019.0000000000"
"8102019.0000000000"
"11102019.0000000000"
"10102019.0000000000"
"10102019.0000000000"
"10102019.0000000000"
"11102019.0000000000"
"11102019.0000000000"
"5102019.0000000000"
"7102019.0000000000"
"11102019.0000000000"
"11102019.0000000000"
"11102019.0000000000"
"3102019.0000000000"
"5102019.0000000000"
"5102019.0000000000"
"6102019.0000000000"
"6102019.0000000000"
"7102019.0000000000"
"7102019.0000000000"
"9102019.0000000000"
"10102019.0000000000"
"10102019.0000000000"
"11102019.0000000000"
"11102019.0000000000"
"11102019.0000000000"
"11102019.0000000000"
"11102019.0000000000"
"6102019.0000000000"
"7102019.0000000000"
"8102019.0000000000"
"11102019.0000000000"
"8102019.0000000000"
"10102019.0000000000"
"11102019.0000000000"
"11102019.0000000000"
"28092019.0000000000"
"4102019.0000000000"
"10102019.0000000000"
"6102019.0000000000"
"8102019.0000000000"
"9102019.0000000000"
"9102019.0000000000"
"10102019.0000000000"
"10102019.0000000000"
"10102019.0000000000"
"10102019.0000000000"
"10102019.0000000000"
"10102019.0000000000"
"10102019.0000000000"
"10102019.0000000000"
"10102019.0000000000"
"10102019.0000000000"
"11102019.0000000000"
"10102019.0000000000"
"10102019.0000000000"
"11102019.0000000000"
"11102019.0000000000"
"11102019.0000000000"
"11102019.0000000000"
"11102019.0000000000"
"11102019.0000000000"
"11102019.0000000000"
"11102019.0000000000"
"11102019.0000000000"
"11102019.0000000000"
"11102019.0000000000"
"9102019.0000000000"
"2102019.0000000000"
"6102019.0000000000"
"6102019.0000000000"
"10102019.0000000000"
"11102019.0000000000"
"8102019.0000000000"
"29092019.0000000000"
"7102019.0000000000"
"7102019.0000000000"
"8102019.0000000000"
"8102019.0000000000"
"9102019.0000000000"
"10102019.0000000000"
"10102019.0000000000"
"8102019.0000000000"
"9102019.0000000000"
"11102019.0000000000"
"11102019.0000000000"
"11102019.0000000000"
"11102019.0000000000"
"30092019.0000000000"
"2102019.0000000000"
"6102019.0000000000"
"9102019.0000000000"
"9102019.0000000000"
"10102019.0000000000"
"10102019.0000000000"
"10102019.0000000000"
"10102019.0000000000"
"10102019.0000000000"
"10102019.0000000000"
"4102019.0000000000"
"8102019.0000000000"
"10102019.0000000000"
"11102019.0000000000"
"29092019.0000000000"
"11102019.0000000000"
"3102019.0000000000"
"10102019.0000000000"
"7102019.0000000000"
"6102019.0000000000"
"7102019.0000000000"
"11102019.0000000000"
"29092019.0000000000"
"8102019.0000000000"
"10102019.0000000000"
"11102019.0000000000"
"6102019.0000000000"
"6102019.0000000000"
"8102019.0000000000"
"9102019.0000000000"
"4102019.0000000000"
"4102019.0000000000"
"4102019.0000000000"
"4102019.0000000000"
"5102019.0000000000"
"9102019.0000000000"
"10102019.0000000000"
"11102019.0000000000"
"5102019.0000000000"
"7102019.0000000000"
"7102019.0000000000"
"8102019.0000000000"
"8102019.0000000000"
