Trade Category,Site_Code,Trading Density
Retail,VRC,1472.949933
Retail,VRC,889.6780139
Jewellery & Watches,VRC,968.6241359
F&B,VRC,2516.810625
Retail,VRC,185.3079743
Women's Wear,VRC,1155.86325
Food & Beverage,VRC,4379.2191969999985
Lingerie and Sleepwear,VRC,941.9900712
Retail,VRC,206.7582625
Retail,VRC,430.70811860000015
Retail,VRC,733.5422087000002
Retail,VRC,505.875553
Retail,VRC,3039.718938
Anchor,VRC,833.3858072
Retail,VRC,374.5070449
Retail,VRC,261.4273502
Retail,VRC,3036.851954
Retail,VRC,327.5009544
Retail,VRC,2038.847886
Retail,VRC,332.3983416000001
Retail,VRC,1114.622736
Anchor,VRC,604.1630694
Food & Beverage,VRC,804.6779532
Retail,VRC,3668.33428
Retail,VRC,1223.889967
Men's Wear,VRC,750.6061175
Women's Wear,VRC,531.9418084
Retail,VRC,421.3971364
Retail,VRC,1693.9945289999996
Food & Beverage,VRC,940.3045886
Retail,VRC,1598.394322
Food & Beverage,VRC,2650.478614
Retail,VRC,2298.617751
Food & Beverage,VRC,3568.000978
F&B,VRC,1747.258236
Food & Beverage,VRC,1328.067225
Food & Beverage,VRC,2881.344429
Retail,VRC,1208.586594
Retail,VRC,341.0038375
Retail,VRC,327.288961
Retail,VRC,804.0130169
Retail,VRC,1888.068838
Retail,VRC,668.3324067000002
Anchor,VRC,846.0632614
Retail,VRC,961.7698663999997
Retail,VRC,833.1823059
Retail,VRC,3730.2931770000014
Food & Beverage,VRC,4839.756533
Retail,VRC,399.4886491
Retail,VRC,823.1733467
Food & Beverage,VRC,4279.01537
Anchor,VRC,1403.876307
Fashion Accessories,VRC,609.4214977000001
Women's Wear,VRC,634.1996716
Retail,VRC,1482.280467
F&B,VRC,439.0325
Retail,VRC,195.7025346
Retail,VRC,665.1040024
Retail,VRC,3271.378004
Retail,VRC,480.938174
Retail,VRC,475.9857644
Food & Beverage,VRC,2275.896871
Retail,VRC,3871.541667
Retail,VRC,1910.132816
Retail,VRC,472.469531
Retail,VRC,293.7439121000001
Retail,VRC,427.4453034
Retail,VRC,786.4050871000002
Food & Beverage,VRC,739.4366198
Retail,VRC,3126.003641
Retail,VRC,140.57742219999997
Retail,VRC,1013.579197
F&B,VRC,3297.393477
Anchor,VRC,555.73497
Retail,VRC,5109.233529
Retail,VRC,460.8432258
Retail,VRC,515.3664441999998
Retail,VRC,557.1405793
Retail,VRC,714.9934135
Retail,VRC,244.9954378
Footwear,VRC,416.4744353
Retail,VRC,835.2547465
Retail,VRC,9501.628802
Food & Beverage,VRC,6789.625493000001
Retail,VRC,1549.521323
Retail,VRC,934.7873275
Retail,VRC,1260.100062
Anchor,VRC,927.4107997
Retail,VRC,2335.269934
Retail,VRC,136.9591504
Food & Beverage,VRC,7182.684126
Food & Beverage,VRC,1028.003981
Retail,VRC,607.6131867
Retail,VRC,1957.348899
Hypermarket,VRC,910.997794
Retail,VRC,1325.784195
Food & Beverage,VRC,1930.523671
F&B,VRC,3374.5661159999995
Retail,VRC,1204.447331
Retail,VRC,599.2934293999998
Retail,VRC,137.2831755
Retail,VRC,776.6483525
Retail,VRC,308.8097277
Men's Wear,VRC,339.5358585
Food & Beverage,VRC,881.8827997000003
Retail,VRC,824.9186612000002
Retail,VRC,539.2630832000001
Retail,VRC,1880.257814
Retail,VRC,738.6444240000002
Retail,VRC,330.2287529
Anchor,VRC,822.0577226
Retail,VRC,1899.795596
Retail,VRC,425.3963558
Food & Beverage,VRC,2427.480514
Food & Beverage,VRC,862.9170182
Food & Beverage,VRC,387.4627411
Retail,VRC,223.5216019
Jewellery & Watches,VRC,1785.981802
Women's Wear,VRC,744.4265988
Retail,FRC,1752.457846
Retail,FRC,11107.51433
Retail,FRC,673.2987318
Retail,FRC,428.3719143
Retail,FRC,1114.122524
Retail,FRC,1556.78129
Food & Beverage,FRC,3507.186694
Retail,FRC,770.1769684999998
Food & Beverage,FRC,2515.8645850000007
Food & Beverage,FRC,517.6536139
Retail,FRC,343.3383791
Food & Beverage,FRC,2623.264917
Food & Beverage,FRC,1195.235274
Food & Beverage,FRC,1748.273115
Retail,FRC,632.186652
Food & Beverage,FRC,1648.0984939999996
Retail,FRC,6511.002988
Retail,FRC,1606.529631
Retail,FRC,862.8494439
Retail,FRC,1036.903385
Retail,FRC,706.4270987000001
Food & Beverage,FRC,866.6654177999999
Retail,FRC,5388.199314
Services,FRC,3538.776436
Retail,FRC,1073.578602
Food & Beverage,FRC,1219.379446
Retail,FRC,5388.646173
Food & Beverage,FRC,1440.879688
Retail,FRC,1581.504524
Retail,FRC,1249.628324
Food & Beverage,FRC,2068.304563
Food & Beverage,FRC,383.1315792
Retail,FRC,1082.172291
Services,FRC,980.9207299
Retail,FRC,1716.26704
Retail,FRC,1343.153232
Retail,FRC,1303.67926
Retail,FRC,390.4367466
Retail,FRC,2294.52282
Retail,FRC,1232.903425
Retail,FRC,2337.965224
Retail,FRC,2845.990638
Retail,FRC,1807.746848
Retail,FRC,853.0773196
Retail,FRC,1285.799
Retail,FRC,795.8740341
Retail,FRC,838.6550896000001
Services,FRC,521.5001535
Retail,FRC,2933.325
Retail,FRC,1066.470185
Retail,FRC,1105.410232
Retail,FRC,11831.52726
Retail,FRC,832.381317
Retail,FRC,651.4568226
Retail,FRC,489.2777836
Food & Beverage,FRC,863.2302489
Retail,FRC,779.4701926
Food & Beverage,FRC,774.1176548
Food & Beverage,FRC,562.599572
Food & Beverage,FRC,906.6499449
Retail,FRC,1731.471261
Retail,FRC,455.4119821000001
Retail,FRC,692.4348065
Retail,FRC,0.584422604
Retail,FRC,1674.372431
Retail,FRC,735.6889487000002
Retail,FRC,1073.325903
Retail,FRC,953.6852136
Retail,FRC,1729.078103
Retail,FRC,1320.400508
Retail,VRC,1487.271525
Electronics & Communications,VRC,6091.407624
Food & Beverage,VRC,1128.393565
Retail,VRC,87.39009242
